timestamp,asset_pair,initial_budget,adjusted_budget,buy_exchange,sell_exchange,network_used,fees,quantities,buy_prices,sell_prices,net_profit,net_profit_percentage
2025-04-09T20:51:44.592732,NULSUSDT,10000.0,859.8280878104999,OKX,Binance,nuls,"{'maker_fee_asset': 16.847939864, 'taker_fee_usdt': 0.8672241220930039, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 16847.939864, 'after_fees': 16831.091924136, 'after_withdrawal': 16831.083924135997}","{'current': 0.0508, 'average': 0.05103461282217335, 'end': 0.0512}","{'current': 0.0516, 'average': 0.051525149895390455, 'end': 0.0515}",6.528810160410899,0.7593157577622427
2025-04-09T21:00:45.722830,NULSUSDT,10000.0,2428.1386954941,OKX,Binance,nuls,"{'maker_fee_asset': 47.535100099999994, 'taker_fee_usdt': 2.43566351839488, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 47535.100099999996, 'after_fees': 47487.564999899994, 'after_withdrawal': 47487.55699989999}","{'current': 0.0509, 'average': 0.05108096312800444, 'end': 0.0513}","{'current': 0.0513, 'average': 0.051290562670975245, 'end': 0.0512}",5.089159382384878,0.20959096742821315
2025-04-09T21:08:26.082356,NULSUSDT,10000.0,1246.0422021473003,OKX,Binance,nuls,"{'maker_fee_asset': 24.32092256, 'taker_fee_usdt': 1.2500180129644158, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 24320.92256, 'after_fees': 24296.60163744, 'after_withdrawal': 24296.593637439997}","{'current': 0.051, 'average': 0.05123334442076774, 'end': 0.0514}","{'current': 0.0515, 'average': 0.051448282488381104, 'end': 0.0514}",2.725792804151297,0.2187560581378341
2025-04-09T21:12:27.018839,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2875871510816004, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.084, 'average': 2.084, 'end': 2.084}",3.5108445305183977,0.2736884474756317
2025-04-09T21:15:02.845702,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2873307069592002, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.084, 'average': 2.0835849371822075, 'end': 2.083}",3.254656852240714,0.25371729599890913
2025-04-09T21:17:19.986232,SCRUSDT,10000.0,2024.445088,OKX,Binance,scroll,"{'maker_fee_asset': 7.854346, 'taker_fee_usdt': 2.0321118383859997, 'withdrawal_fee_asset': 0.5}","{'bought_qty': 7854.346, 'after_fees': 7846.4916539999995, 'after_withdrawal': 7845.9916539999995}","{'current': 0.2575, 'average': 0.2577483966201642, 'end': 0.2579}","{'current': 0.259, 'average': 0.259, 'end': 0.259}",5.634638547613804,0.2783300263866581
2025-04-09T21:17:19.986549,ALGOUSDC,10000.0,5285.5385601299995,OKX,Binance,algorand,"{'maker_fee_asset': 29.463298799999997, 'taker_fee_usdt': 5.305737915716239, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 29463.298799999997, 'after_fees': 29433.835501199996, 'after_withdrawal': 29433.827501199994}","{'current': 0.1792, 'average': 0.1793939842245363, 'end': 0.1798}","{'current': 0.1803, 'average': 0.18025986988949802, 'end': 0.1802}",14.893617670523781,0.2817805130184779
2025-04-09T21:17:19.986692,NEARUSDC,10000.0,1282.7887194000002,OKX,Binance,near,"{'maker_fee_asset': 0.6184776000000001, 'taker_fee_usdt': 1.2894406834488001, 'withdrawal_fee_asset': 0.015}","{'bought_qty': 618.4776, 'after_fees': 617.8591224, 'after_withdrawal': 617.8441224000001}","{'current': 2.073, 'average': 2.074106999833139, 'end': 2.078}","{'current': 2.087, 'average': 2.087, 'end': 2.087}",5.36252336535108,0.4180363675055778
2025-04-09T21:20:20.917098,SCRUSDT,10000.0,2024.445088,OKX,Binance,scroll,"{'maker_fee_asset': 7.854346, 'taker_fee_usdt': 2.0321118383859997, 'withdrawal_fee_asset': 0.5}","{'bought_qty': 7854.346, 'after_fees': 7846.4916539999995, 'after_withdrawal': 7845.9916539999995}","{'current': 0.2575, 'average': 0.2577483966201642, 'end': 0.2579}","{'current': 0.259, 'average': 0.259, 'end': 0.259}",5.634638547613804,0.2783300263866581
2025-04-09T21:20:20.917798,ALGOUSDC,10000.0,5285.5385601299995,OKX,Binance,algorand,"{'maker_fee_asset': 29.463298799999997, 'taker_fee_usdt': 5.308288398466359, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 29463.298799999997, 'after_fees': 29433.835501199996, 'after_withdrawal': 29433.827501199994}","{'current': 0.1792, 'average': 0.1793939842245363, 'end': 0.1798}","{'current': 0.1804, 'average': 0.18034652130274065, 'end': 0.1803}",17.441549937892887,0.3299862396134692
